title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Design of Wood Structures	CIVE 528	3	Review of wood material properties and grades. Design of sawn lumber and timber tension, bending, compression and beam-column members. Design of engineered wood products, glued-laminated and cross-laminated timber members. Design of connections. Moisture and humidity effects, deterioration and protection, fire performance, prescriptive design versus engineering design.	CIVE 318 or equivalent, or permission of the instructor			Faculty of Engineering	
Urban Transportation Planning	CIVE 540	3	Process and techniques of urban transportation engineering and planning, including demand analysis framework, data collection procedures, travel demand modelling and forecasting, and cost-effectiveness framework for evaluation of project and system alternatives.	CIVE 319 or permission of instructor.		(3-1-5)	Faculty of Engineering	
Transportation Network Analysis	CIVE 542	3	Introduction to transportation network algorithms; analytical frameworks used in traditional transportation network software, including routing algorithms, deterministic equilibrium approach, static traffic assignment, dynamic traffic assignment, vehicle routing algorithms, network reliability and design and several stochastic variants.	CIVE 208.		Note: (3-0-6)	Faculty of Engineering	
Selected Topics in Civil Engineering 1	CIVE 546	3	Special topics related to Civil Engineering will be presented by staff and visiting lecturers.	Permission of instructor		(3-0-6)	Faculty of Engineering	
Water Resources Management	CIVE 550	3	State-of-the-art water resources management techniques; case studies of their application to Canadian situations; identification of major issues and problem areas; interprovincial and international river basins; implications of development alternatives; institutional arrangements for planning and development of water resources; and, legal and economic aspects.	CIVE 323 or equivalent		(3-0-6)	Faculty of Engineering	
Environmental Data Analysis	CIVE 555	3	Application of statistical principles to design of measurement systems and sampling programs. Introduction to experimental design. Graphical data analysis. Description of uncertainty. Hypothesis tests. Model parameter estimation methods	CIVE 302 or permission of instructor		(3-0-6)	Faculty of Engineering	
Microbiology for Environmental Engineering	CIVE 557	3	Microbiological concepts applied to the practice of environmental engineering and biotechnologies including the following topics	CIVE 225 or permission of the instructor		(3-1-5)	Faculty of Engineering	
Transportation Safety and Design	CIVE 560	3	Fundamental concepts on transportation safety, traffic data collection techniques, crash database management, statistical methods for safety analysis, network screening methods, evaluation and design of treatments, railway safety analysis, surrogate safety methods, intersection safety and engineering countermeasures, non-motorized safety and facilities designs and accident severity analysis.	CIVE 319		(3-1-5)	Faculty of Engineering	
Greenhouse Gas Emissions	CIVE 561	3	Greenhouse gas inventories at various scales from national to institutional. Emission estimation methods including field measurements and engineering calculations for anthropogenic sources including fossil fuel combustion from transportation and energy production, cement production, hydroelectric reservoirs, oil and gas systems, landfills, wastewater treatment and sewer systems, and agriculture. Technical and policy options for reducing greenhouse gas emissions. Group project.			(3-0-6) | Students are expected to have a background in data mining, statistical analysis, e.g. spatiotemporal analysis, and chemistry. WHMIS and other lab training is recommended.	Faculty of Engineering	
Computational Hydraulics	CIVE 572	3	Computation of unsteady flows in open channels; abrupt waves, flood waves, tidal propagations; method of characteristics; mathematical modelling of river and coastal currents.	CIVE 327 or equivalent		(3-0-6)	Faculty of Engineering	
Hydraulic Structures	CIVE 573	3	Hydraulic aspects of the theory and design of hydraulic structures. Storage dams, spillways, outlet works, diversion works, drop structures, stone structures, conveyance and control structures, flow measurement and culverts.	CIVE 323 and CIVE 327		(3-0-6)	Faculty of Engineering	
Fluid Mechanics of Water Pollution	CIVE 574	3	Mixing, dilution and dispersion of pollutants discharged into lakes, rivers, estuaries and oceans; salinity intrusion in estuaries and its effects on dispersion; biochemical oxygen demand and dissolved oxygen as water quality indicators; thermal pollution; oil pollution.	CIVE 327 or equivalent.		(3-0-6)	Faculty of Engineering	
River Engineering	CIVE 577	3	Fluvial geomorphology; sediment properties; river turbulence; mechanics of the entrainment, transportation and deposition of solids by fluids; threshold of movement; bed forms; suspended load, bed load and total load equations; stable channel design and regime rivers; river modelling; river engineering; and river management.	CIVE 428 or permission of the instructor.	CIVE 428	(3-0-6)	Faculty of Engineering	
Mechanics of Groundwater Flow	CIVE 584	3	Origins and types of groundwater; Darcy's law; hydraulic anisotropy; conservation laws; fundamental equations of porous media flow; Laplace's and Poisson's equations	CIVE 311 or Permission of Instructor.		(3-1.5-4.5)	Faculty of Engineering	
Finite Element Analysis	CIVE 602	4	Development of displacement based simple and high order, one, two and three dimensional elements for linear elastic stress analysis. Variational and other methods for element formulation. Plate bending and shell elements. Finite element programming. Use of package programs in static analysis of structures.			(3-0-9)	Faculty of Engineering	
Structural Dynamics	CIVE 603	4	Dynamic loads on structures; equations of motion of linear single- and multiple-degree-of-freedom systems and of continuous systems; free and forced vibrations; damping in structures; modal superposition and time-history analysis; earthquake effects; provisions of the National Building Code of Canada for seismic analysis.				Faculty of Engineering	
Theory of Plates and Shells	CIVE 604	4	Analysis of stresses and deformations in plates bent by transverse loads. Circular and rectangular plates. Membrane theory of shells. Axially symmetric bending of cylindrical, conical and spherical shells. Shells of revolution; theory of shallow shells. Use of package programs in the analysis of plate and shell structures.				Faculty of Engineering	
Stability of Structures	CIVE 605	4	Buckling of elastic columns by equilibrium analysis. Buckling of inelastic columns. Energy analysis and approximate methods. Stability of frames. Torsional buckling of columns and flexural-torsional buckling of beams. Buckling of plates and axially compressed circular cylindrical shells. Stability analysis using the finite element method.				Faculty of Engineering	
Advanced Design in Steel	CIVE 607	4	Design and behaviour of cold formed and hot rolled structural steel members and systems. Lateral load resistance design of steel roof diaphragms, flexural design of composite slabs, bracing requirements and design procedures for steel structures, floor vibration, member torsion, slender members and design procedures for low rise steel frame buildings.				Faculty of Engineering	
